taxon_level	taxon_name	class_name	subclass_or_superorder_name	order_name	suborder_name	superfamily_name	family_name	subfamily_name	tribe_name	genus_name	species_name	author	STG_TIME_STAMP
order	DRYOLESTIDA	MAMMALIA		DRYOLESTIDA									2024/12/13 12:13:40.574
family	Peligrotheriidae	MAMMALIA		DRYOLESTIDA			Peligrotheriidae						2024/12/13 12:13:40.574
genus	Peligrotherium	MAMMALIA		DRYOLESTIDA			Peligrotheriidae			Peligrotherium			2024/12/13 12:13:40.574
species	Peligrotherium tropicalis	MAMMALIA		DRYOLESTIDA			Peligrotheriidae			Peligrotherium	tropicalis		2024/12/13 12:13:40.574
order	GONDWANATHERIA	MAMMALIA		GONDWANATHERIA									2024/12/13 12:13:40.574
family	Sudamericidae	MAMMALIA		GONDWANATHERIA			Sudamericidae						2024/12/13 12:13:40.574
genus	Sudamerica	MAMMALIA		GONDWANATHERIA			Sudamericidae			Sudamerica			2024/12/13 12:13:40.574
species	Sudamerica ameghinoi	MAMMALIA		GONDWANATHERIA			Sudamericidae			Sudamerica	ameghinoi		2024/12/13 12:13:40.574
family	Horolodectidae	MAMMALIA		INCERTAE SEDIS			Horolodectidae						2024/12/13 12:13:40.574
genus	Ferrequitherium	MAMMALIA		INCERTAE SEDIS			Horolodectidae			Ferrequitherium			2024/12/13 12:13:40.574
species	Ferrequitherium sweeti	MAMMALIA		INCERTAE SEDIS			Horolodectidae			Ferrequitherium	sweeti		2024/12/13 12:13:40.574
genus	Horolodectes	MAMMALIA		INCERTAE SEDIS			Horolodectidae			Horolodectes			2024/12/13 12:13:40.574
species	Horolodectes sunae	MAMMALIA		INCERTAE SEDIS			Horolodectidae			Horolodectes	sunae		2024/12/13 12:13:40.574
genus	Helioseus	MAMMALIA		INCERTAE SEDIS			incertae sedis			Helioseus			2024/12/13 12:13:40.574
species	Helioseus insolitus	MAMMALIA		INCERTAE SEDIS			incertae sedis			Helioseus	insolitus		2024/12/13 12:13:40.574
genus	Xenostylos	MAMMALIA		INCERTAE SEDIS			incertae sedis			Xenostylos			2024/12/13 12:13:40.574
species	Xenostylos peninsularis	MAMMALIA		INCERTAE SEDIS			incertae sedis			Xenostylos	peninsularis		2024/12/13 12:13:40.574
genus	Zhongvuanus	MAMMALIA		INCERTAE SEDIS			incertae sedis			Zhongvuanus			2024/12/13 12:13:40.574
species	Zhongvuanus sichuanensis	MAMMALIA		INCERTAE SEDIS			incertae sedis			Zhongvuanus	sichuanensis		2024/12/13 12:13:40.574
family	Sororyctidae	MAMMALIA		INCERTAE SEDIS			Sororyctidae						2024/12/13 12:13:40.574
genus	Sororyctes	MAMMALIA		INCERTAE SEDIS			Sororyctidae			Sororyctes			2024/12/13 12:13:40.574
species	Sororyctes ghaznavii	MAMMALIA		INCERTAE SEDIS			Sororyctidae			Sororyctes	ghaznavii		2024/12/13 12:13:40.574
family	Pseudorhyncocyonidae	MAMMALIA		INDET.			Pseudorhyncocyonidae						2024/12/13 12:13:40.574
subclass	EUTHERIA	MAMMALIA	EUTHERIA										2024/12/13 12:13:40.574
superfamily	Hyainailouroidea	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea							2024/12/13 12:13:40.574
order	HYAENODONTA	MAMMALIA	EUTHERIA	HYAENODONTA									2024/12/13 12:13:40.574
genus	Simbakubwa	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	incertae sedis	Hyainailourinae		Simbakubwa			2024/12/13 12:13:40.574
species	Simbakubwa kutokaafrika	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	incertae sedis	Hyainailourinae		Simbakubwa	kutokaafrika		2024/12/13 12:13:40.574
family	Teratodontidae	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	Teratodontidae						2024/12/13 12:13:40.574
subfamily	Teratodontinae	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	Teratodontidae	Teratodontinae					2024/12/13 12:13:40.574
genus	Ekweeconfractus	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	Teratodontidae	Teratodontinae		Ekweeconfractus		Flink 2021	2024/12/13 12:13:40.574
species	Ekweeconfractus amorui	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	Teratodontidae	Teratodontinae		Ekweeconfractus	amorui	Flink 2021	2024/12/13 12:13:40.574
genus	Pakakali	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	Teratodontidae	Teratodontinae		Pakakali		Borths 2017	2024/12/13 12:13:40.574
species	Pakakali rukwaensis	MAMMALIA	EUTHERIA	HYAENODONTA		Hyainailouroidea	Teratodontidae	Teratodontinae		Pakakali	rukwaensis	Borths 2017	2024/12/13 12:13:40.574
genus	Eodesmatodon	MAMMALIA	EUTHERIA	INCERTAE SEDIS			incertae sedis			Eodesmatodon			2024/12/13 12:13:40.574
species	Eodesmatodon spanios	MAMMALIA	EUTHERIA	INCERTAE SEDIS			incertae sedis			Eodesmatodon	spanios		2024/12/13 12:13:40.574
genus	Lophiodolodus	MAMMALIA	EUTHERIA	INCERTAE SEDIS			incertae sedis			Lophiodolodus			2024/12/13 12:13:40.574
species	Lophiodolodus chaparralensis	MAMMALIA	EUTHERIA	INCERTAE SEDIS			incertae sedis			Lophiodolodus	chaparralensis		2024/12/13 12:13:40.574
genus	Obtususdon	MAMMALIA	EUTHERIA	INCERTAE SEDIS			incertae sedis			Obtususdon			2024/12/13 12:13:40.574
